id,created_at,updated_at,slug,translation,sana_id,sana_name,is_iran
73,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""باجگيران""}",5288,باجگيران,1
74,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""باخزر""}",5289,باخزر,1
75,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""بجستان""}",5290,بجستان,1
76,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""بشرويه""}",5291,بشرويه,1
77,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""بيدخت""}",5292,بيدخت,1
78,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""جغتاي""}",5293,جغتاي,1
79,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""خضري دشت بياض""}",5294,خضري دشت بياض,1
80,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""خليل آباد""}",5295,خليل آباد,1
81,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""دررود""}",5296,دررود,1
82,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""دولت آباد""}",5297,دولت آباد,1
83,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""رشتخوار""}",5298,رشتخوار,1
84,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""سرايان""}",5299,سرايان,1
85,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""اصفهان""}",5301,اصفهان,1
86,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""كوهپايه""}",5310,كوهپايه,1
87,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""گز""}",5311,گز,1
88,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""گل آرا""}",5312,گل آرا,1
89,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""گلدشت""}",5313,گلدشت,1
90,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""گوگد""}",5314,گوگد,1
91,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""نيك آباد""}",5315,نيك آباد,1
92,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""ورزنه""}",5316,ورزنه,1
93,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""ورنامخواست""}",5317,ورنامخواست,1
94,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""وزوان""}",5318,وزوان,1
95,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""هرند""}",5319,هرند,1
96,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""دستگرد""}",5320,دستگرد,1
97,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""باغبادران""}",5321,باغبادران,1
98,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""باغ بهاران""}",5340,باغ بهاران,1
99,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""كاشان""}",5352,كاشان,1
100,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""خميني شهر""}",5353,خميني شهر,1
101,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""نجف آباد""}",5354,نجف آباد,1
102,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""برخوار وميمه""}",5355,برخوار وميمه,1
